Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/syncope-1.0.4,build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSRootDseServlet.java,0,1,0,84,100,100,84,84.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSStartStopListener.java,0,1,0,219,258,258,219,219.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java,0,1,0,90,101,101,90,90.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,build-tools/src/main/java/org/apache/syncope/buildtools/JarSchemaLdifExtractor.java,0,1,0,150,178,178,150,150.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/annotation/FormAttributeField.java,0,1,0,29,32,32,29,29.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/annotation/SchemaList.java,0,1,0,25,28,28,25,25.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/AbstractBaseBean.java,0,1,0,39,45,45,39,39.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/SyncopeConstants.java,0,2,0,29,38,35,29,14.5,2,765.5,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/http/HttpClientParams.java,0,2,0,29,35,34,29,14.5,2,8.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java,0,3,0,63,89,82,65,21.666666666666668,2,512.6666666666666,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/mod/AbstractAttributableMod.java,0,2,0,203,271,261,203,101.5,2,762.5,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/mod/AttributeMod.java,0,1,0,68,87,87,68,68.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/mod/MembershipMod.java,0,2,0,67,86,84,67,33.5,2,777.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/mod/ReferenceMod.java,0,1,0,38,45,45,38,38.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/mod/RoleMod.java,0,2,0,94,163,144,122,61.0,1,764.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/mod/UserMod.java,0,1,0,76,98,98,76,76.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/report/AbstractReportletConf.java,0,1,0,38,46,46,38,38.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/report/ReportletConf.java,0,1,0,29,32,32,29,29.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/report/StaticReportletConf.java,0,1,0,79,102,102,79,79.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/report/UserReportletConf.java,0,1,0,88,112,112,88,88.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/search/AttributeCond.java,0,1,0,67,85,85,67,67.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/search/MembershipCond.java,0,1,0,46,57,57,46,46.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/search/NodeCond.java,0,1,0,159,210,210,159,159.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/search/ResourceCond.java,0,1,0,35,41,41,35,35.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/search/SyncopeUserCond.java,0,1,0,30,34,34,30,30.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/AbstractAttributableTO.java,0,2,0,110,144,142,110,55.0,2,777.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/AbstractExecTO.java,0,1,0,67,85,85,67,67.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/AccountPolicyTO.java,0,1,0,40,49,49,40,40.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/AttributeTO.java,0,1,0,95,111,111,95,95.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/ConfigurationTO.java,0,1,0,37,46,46,37,37.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/ConnBundleTO.java,0,1,0,70,91,91,70,70.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/ConnInstanceTO.java,0,2,0,118,153,152,118,59.0,2,777.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/ConnObjectTO.java,0,2,0,60,75,74,60,30.0,2,777.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/DerivedSchemaTO.java,0,1,0,36,44,44,36,36.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/LoggerTO.java,0,1,0,38,47,47,38,38.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/MembershipTO.java,0,2,0,53,68,67,53,26.5,2,777.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/NotificationTO.java,0,1,0,114,153,153,114,114.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/NotificationTaskTO.java,0,2,0,87,115,115,87,43.5,1,764.5,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/PasswordPolicyTO.java,0,1,0,40,49,49,40,40.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/PolicyTO.java,0,1,0,42,53,53,42,42.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/PropagationTO.java,0,1,0,110,125,125,110,110.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java,0,1,0,73,98,98,73,73.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java,0,1,0,33,40,40,33,33.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/ReportTO.java,0,2,0,130,169,169,130,65.0,2,768.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/ResourceTO.java,0,1,0,177,235,235,177,177.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/RoleTO.java,0,1,0,136,177,177,136,136.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java,0,1,0,59,74,74,59,59.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java,0,1,0,92,115,115,92,92.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,client/src/main/java/org/apache/syncope/client/to/SchemaTO.java,0,2,0,100,134,134,100,50.0,2,766.5,true
